track len: 1
codec: 0x1005
time: 59.280415, note: 1.269247
time: 59.340416, note: 1.1856651
time: 59.4005, note: 0.78197503
time: 59.456333, note: 0.644688
time: 59.520416, note: 1.4428271
time: 59.580833, note: 0.8377261
time: 59.640415, note: 0.6281434
time: 59.700417, note: 1.3399782
time: 59.760414, note: 1.3655059
time: 59.819084, note: 1.039592
time: 59.880417, note: 1.2143629
time: 59.937668, note: 0.99961776
time: 60.000416, note: 1.2508663
time: 60.0605, note: 0.62705314
time: 60.120415, note: 1.4134214
time: 60.1805, note: 0.7879745
time: 60.233665, note: 1.0026866
time: 60.28583, note: 1.0563731
time: 60.3405, note: 1.377784
time: 60.400417, note: 1.2601911
time: 60.53258, note: 0.91099364
time: 63.8805, note: 0.86238307
time: 63.940414, note: 1.4242685
time: 64.000496, note: 0.508118
time: 64.06042, note: 1.135477
time: 64.1205, note: 0.9028184
time: 64.1805, note: 0.64124453
time: 64.240585, note: 0.6238655
time: 64.36041, note: 1.063122
time: 64.42042, note: 1.4137056
time: 64.480415, note: 1.266879
time: 64.54041, note: 1.2741696
time: 64.60042, note: 1.4507023
time: 64.6605, note: 0.9777893
time: 64.72058, note: 1.4212624
time: 64.78042, note: 0.6960658
time: 64.86583, note: 0.72908914
time: 64.917496, note: 1.0546056
time: 64.980415, note: 1.1321274
time: 65.0405, note: 0.6165905
time: 65.1005, note: 0.5243429
time: 65.1605, note: 0.86425406
time: 65.22041, note: 1.412147
time: 65.300415, note: 1.158159
time: 65.36041, note: 1.2045817
time: 65.42042, note: 1.3049726
time: 65.480415, note: 1.0932275
time: 65.5405, note: 0.63070285
time: 65.6005, note: 0.679332
time: 65.6605, note: 0.9364608
time: 65.7805, note: 1.4192388
time: 65.840416, note: 1.330066
time: 65.90041, note: 1.4026612
time: 65.96042, note: 1.0894506
time: 66.0205, note: 0.9030066
time: 66.080414, note: 1.476064
time: 66.1405, note: 0.72608733
time: 66.24042, note: 1.3124707
time: 66.300415, note: 1.2115961
time: 66.36041, note: 1.2727636
time: 66.42042, note: 1.338149
time: 66.480415, note: 1.3552756
time: 66.5405, note: 0.5922297
time: 66.6005, note: 0.6262703
time: 66.7005, note: 0.9299613
time: 66.760414, note: 0.80891466
time: 66.82042, note: 1.2950552
time: 66.88042, note: 1.3972726
time: 66.940414, note: 1.3396771
time: 67.000496, note: 0.7361806
time: 67.0605, note: 0.6806919
time: 67.120415, note: 1.2762403
time: 67.2005, note: 1.4386086
time: 67.2605, note: 0.56334984
time: 67.32042, note: 1.4032936
time: 67.38042, note: 1.1296583
time: 67.440414, note: 1.3729861
time: 67.50042, note: 1.4827375
time: 67.5605, note: 0.688429
time: 67.62583, note: 0.6607554
time: 67.68058, note: 0.7247057
time: 67.74042, note: 1.1983863
time: 67.8005, note: 0.73248106
time: 67.86041, note: 1.4358175
time: 67.9205, note: 0.8180679
time: 67.9805, note: 0.50351804
time: 68.0405, note: 0.6548332
time: 68.10042, note: 1.497957
time: 68.18041, note: 1.2280102
time: 68.24042, note: 1.2644298
time: 68.300415, note: 1.4047693
time: 68.36041, note: 1.2801307
time: 68.4205, note: 0.83594304
time: 68.48058, note: 1.4215496
time: 68.54041, note: 1.0191568
time: 68.6005, note: 0.9884651
time: 68.660416, note: 0.59538484
time: 68.72041, note: 1.334324
time: 68.78042, note: 1.4013791
time: 68.83791, note: 1.0710701
time: 68.9005, note: 0.7808476
time: 68.9605, note: 0.5797154
time: 69.0205, note: 0.64131373
